DateTime, Active Energy Import (kWh)
17/03/2023 02:00:00, 0.554
17/03/2023 02:30:00, 0.113
17/03/2023 03:00:00, 0.183
17/03/2023 03:30:00, 0.508
17/03/2023 04:00:00, 0.097
17/03/2023 04:30:00, 0.102
17/03/2023 05:00:00, 0.482
17/03/2023 05:30:00, 0.125
17/03/2023 06:00:00, 0.047
17/03/2023 06:30:00, 0.466
17/03/2023 07:00:00, 0.169
17/03/2023 07:30:00, 0.089
17/03/2023 08:00:00, 0.387
17/03/2023 08:30:00, 0.394
17/03/2023 09:00:00, 0.403
17/03/2023 09:30:00, 0.908
17/03/2023 10:00:00, 0.763
17/03/2023 10:30:00, 0.207
17/03/2023 11:00:00, 0.147
17/03/2023 11:30:00, 0.14
17/03/2023 12:00:00, 0.21
17/03/2023 12:30:00, 0.095
17/03/2023 13:00:00, 0.428
17/03/2023 13:30:00, 0.044
17/03/2023 14:00:00, 0.023
17/03/2023 14:30:00, 0.037
17/03/2023 15:00:00, 0.029
17/03/2023 15:30:00, 0.422
17/03/2023 16:00:00, 0.067
17/03/2023 16:30:00, 0.072
17/03/2023 17:00:00, 0.06
17/03/2023 17:30:00, 0.061
17/03/2023 18:00:00, 0.14
17/03/2023 18:30:00, 0.291
17/03/2023 19:00:00, 0.675
17/03/2023 19:30:00, 0.227
17/03/2023 20:00:00, 0.751
17/03/2023 20:30:00, 0.731
17/03/2023 21:00:00, 0.777
17/03/2023 21:30:00, 0.756
17/03/2023 22:00:00, 0.742
17/03/2023 22:30:00, 0.605
17/03/2023 23:00:00, 0.156
17/03/2023 23:30:00, 0.133
18/03/2023 00:00:00, 0.494
18/03/2023 00:30:00, 0.348
18/03/2023 01:00:00, 0.206
18/03/2023 01:30:00, 0.207
18/03/2023 02:00:00, 0.381
18/03/2023 02:30:00, 0.392
18/03/2023 03:00:00, 0.1
18/03/2023 03:30:00, 0.078
18/03/2023 04:00:00, 0.331
18/03/2023 04:30:00, 0.723
18/03/2023 05:00:00, 0.698
18/03/2023 05:30:00, 0.103
18/03/2023 06:00:00, 0.421
18/03/2023 06:30:00, 0.193
18/03/2023 07:00:00, 0.051
18/03/2023 07:30:00, 0.091
18/03/2023 08:00:00, 0.462
18/03/2023 08:30:00, 0.206
18/03/2023 09:00:00, 0.107
18/03/2023 09:30:00, 0.199
18/03/2023 10:00:00, 0.085
18/03/2023 10:30:00, 0.571
18/03/2023 11:00:00, 0.489
18/03/2023 11:30:00, 0.419
18/03/2023 12:00:00, 0.295
18/03/2023 12:30:00, 0.332
18/03/2023 13:00:00, 0.35
18/03/2023 13:30:00, 0.173
18/03/2023 14:00:00, 0.479
18/03/2023 14:30:00, 0.516
18/03/2023 15:00:00, 0.521
18/03/2023 15:30:00, 0.259
18/03/2023 16:00:00, 0.448
18/03/2023 16:30:00, 0.178
18/03/2023 17:00:00, 0.458
18/03/2023 17:30:00, 0.669
18/03/2023 18:00:00, 0.455
18/03/2023 18:30:00, 0.854
18/03/2023 19:00:00, 0.691
18/03/2023 19:30:00, 0.342
18/03/2023 20:00:00, 0.197
18/03/2023 20:30:00, 0.208
18/03/2023 21:00:00, 0.238
18/03/2023 21:30:00, 0.854
18/03/2023 22:00:00, 1.298
18/03/2023 22:30:00, 0.815
18/03/2023 23:00:00, 0.872
18/03/2023 23:30:00, 0.723
19/03/2023 00:00:00, 0.106
19/03/2023 00:30:00, 0.035
19/03/2023 01:00:00, 0.27
19/03/2023 01:30:00, 0.73
19/03/2023 02:00:00, 0.235
19/03/2023 02:30:00, 0.096
19/03/2023 03:00:00, 0.083
19/03/2023 03:30:00, 0.543
19/03/2023 04:00:00, 0.93
19/03/2023 04:30:00, 0.079
19/03/2023 05:00:00, 0.076
19/03/2023 05:30:00, 0.104
19/03/2023 06:00:00, 0.658
19/03/2023 06:30:00, 0.201
19/03/2023 07:00:00, 0.085
19/03/2023 07:30:00, 0.321
19/03/2023 08:00:00, 0.8
19/03/2023 08:30:00, 0.24
19/03/2023 09:00:00, 0.069
19/03/2023 09:30:00, 0.091
19/03/2023 10:00:00, 0.071
19/03/2023 10:30:00, 0.574
19/03/2023 11:00:00, 0.737
19/03/2023 11:30:00, 0.145
19/03/2023 12:00:00, 0.118
19/03/2023 12:30:00, 0.915
19/03/2023 13:00:00, 0.527
19/03/2023 13:30:00, 0.127
19/03/2023 14:00:00, 0.246
19/03/2023 14:30:00, 0.171
19/03/2023 15:00:00, 0.123
19/03/2023 15:30:00, 0.562
19/03/2023 16:00:00, 0.193
19/03/2023 16:30:00, 0.109
19/03/2023 17:00:00, 0.116
19/03/2023 17:30:00, 0.108
19/03/2023 18:00:00, 0.141
19/03/2023 18:30:00, 0.305
19/03/2023 19:00:00, 0.554
19/03/2023 19:30:00, 0.112
19/03/2023 20:00:00, 0.306
19/03/2023 20:30:00, 0.166
19/03/2023 21:00:00, 0.125
19/03/2023 21:30:00, 0.498
19/03/2023 22:00:00, 0.768
19/03/2023 22:30:00, 0.552
19/03/2023 23:00:00, 0.669
19/03/2023 23:30:00, 0.76
20/03/2023 00:00:00, 0.814
20/03/2023 00:30:00, 0.672
